# English aliases/words intentionally covered outside the bundled MCK translations.
# Keep one concise Traditional Chinese translation for the common meaning.
apple	蘋果
apples	蘋果
banana	香蕉
bananas	香蕉
birthday	生日
birthdays	生日
family	家庭
friend	朋友
orange	橙
oranges	橙
paint	繪畫
painted	繪畫
painting	畫作
school	學校
arent	不是
cant	不能
couldnt	不能
didnt	沒有
doesnt	不會
dont	不要
hadnt	未曾
hasnt	沒有
havent	沒有
hes	他是
heres	這裡是
hows	如何
id	我會
ill	我會
im	我是
ive	我已經
isnt	不是
its	它是
lets	讓我們
shes	她是
shouldnt	不應該
thats	那是
theres	有
theyd	他們會
theyll	他們會
theyre	他們是
theyve	他們已經
wasnt	不是
wed	我們會
well	我們會
were	我們是
weve	我們已經
werent	不是
whats	甚麼
whens	何時
wheres	哪裡
whos	誰
whys	為甚麼
wont	不會
wouldnt	不會
youd	你會
youll	你會
youre	你是
youve	你已經
